,x_min,x_max,y_min,y_max
J36,30,36,36,40
M31,0,6,48,52
O28,-18,-12,56,60
J25,-36,-30,36,40
J26,-30,-24,36,40
K31,0,6,40,44
K32,6,12,40,44
K33,12,18,40,44
L31,0,6,44,48
L32,6,12,44,48
L33,12,18,44,48
O29,-12,-6,56,60
L36,30,36,44,48
L37,36,42,44,48
L38,42,48,44,48
L39,48,54,44,48
M36,30,36,48,52
M37,36,42,48,52
M38,42,48,48,52
M39,48,54,48,52
N36,30,36,52,56
N37,36,42,52,56
N38,42,48,52,56
N39,48,54,52,56
O36,30,36,56,60
O37,36,42,56,60
O38,42,48,56,60
O39,48,54,56,60
J33,12,18,36,40
J34,18,24,36,40
J35,24,30,36,40
K29,-12,-6,40,44
K30,-6,0,40,44
K34,18,24,40,44
K35,24,30,40,44
L30,-6,0,44,48
L34,18,24,44,48
L35,24,30,44,48
M29,-12,-6,48,52
M30,-6,0,48,52
M32,6,12,48,52
M33,12,18,48,52
M34,18,24,48,52
M35,24,30,48,52
N29,-12,-6,52,56
N30,-6,0,52,56
N31,0,6,52,56
N32,6,12,52,56
N33,12,18,52,56
N34,18,24,52,56
N35,24,30,52,56
O30,-6,0,56,60
O31,0,6,56,60
O32,6,12,56,60
O33,12,18,56,60
O34,18,24,56,60
O35,24,30,56,60
H29,-12,-6,28,32
G27,-24,-18,24,28
G28,-18,-12,24,28
G29,-12,-6,24,28
G30,-6,0,24,28
G31,0,6,24,28
G32,6,12,24,28
H27,-24,-18,28,32
H28,-18,-12,28,32
H30,-6,0,28,32
H31,0,6,28,32
H32,6,12,28,32
I29,-12,-6,32,36
I30,-6,0,32,36
I31,0,6,32,36
I32,6,12,32,36
J29,-12,-6,36,40
J30,-6,0,36,40
J31,0,6,36,40
J32,6,12,36,40
G33,12,18,24,28
G34,18,24,24,28
G35,24,30,24,28
G36,30,36,24,28
H33,12,18,28,32
H34,18,24,28,32
H35,24,30,28,32
H36,30,36,28,32
I33,12,18,32,36
I34,18,24,32,36
I35,24,30,32,36
I36,30,36,32,36
G37,36,42,24,28
G38,42,48,24,28
G39,48,54,24,28
H37,36,42,28,32
H38,42,48,28,32
H39,48,54,28,32
I37,36,42,32,36
I38,42,48,32,36
I39,48,54,32,36
J37,36,42,36,40
J38,42,48,36,40
J39,48,54,36,40
K37,36,42,40,44
K38,42,48,40,44
K39,48,54,40,44
K36,30,36,40,44
R39,48,54,68,72
S39,48,54,72,76
P34v2,18,24,60,64
P35v2,24,30,60,64
Q34v2,18,24,64,68
Q35v2,24,30,64,68
R34v2,18,24,68,72
R35v2,24,30,68,72
P36v2,30,36,60,64
P37v2,36,42,60,64
P38v2,42,48,60,64
P39v2,48,54,60,64
Q36v2,30,36,64,68
Q37v2,36,42,64,68
Q38v2,42,48,64,68
Q39v2,48,54,64,68
R36v2,30,36,68,72
R37v2,36,42,68,72
R38v2,42,48,68,72
BEAR,18,24,72,76
JANMAYEN,-12,-6,68,72
P31v2,0,6,60,64
P32v2,6,12,60,64
P33v2,12,18,60,64
Q32v2,6,12,64,68
Q33v2,12,18,64,68
R33v2,12,18,68,72
FAR,-12,-6,60,64
SHL,-6,0,60,64
I28,-18,-12,32,36
